{reach_basic};{epist_basic};{contr_basic};{reach_simpl_none};{epist_simpl_none};{contr_simp_none};{reach_simpl_epistemic};{epist_simpl_epistemic};{contr_simp_epistemic};{reach_simpl_control};{epist_simpl_control};{contr_simp_control}
1682;2535;606;246;422;122;19;32;13;21;35;13
1818;2908;623;110;201;55;12;15;9;12;15;9
4140;6233;1155;420;774;159;122;255;47;129;269;49
6598;9592;1771;656;1094;194;235;405;80;214;392;76
10982;14959;2987;1564;2852;411;1075;2020;301;1320;2484;377
13099;17439;3546;2738;3909;712;1897;2854;519;1892;2860;523
12781;17201;3364;9364;13533;2501;7226;10996;2025;6908;10605;1906
14683;19092;3938;5476;8214;1380;2830;4547;710;2893;4659;749
11813;15820;3104;6099;9233;1535;8182;11794;2163;5170;7944;1318
15318;19751;4100;13179;17703;3527;11038;15490;2946;10856;15327;2914
15711;20098;4215;14713;19196;3973;13155;17711;3549;13088;17614;3541
